ID_Pesquisa,Data_Resposta,Nota_NPS,Estado,Motivo_Principal,ID_Sistema_Feedback,Classificacao_NPS
SRV-001364,2025-01-01,0,ES,Variedade,97091,Detrator
SRV-001365,2025-08-05,8,PE,Atendimento,83318,Neutro
SRV-001366,2025-09-06,10,CE,Preço,78196,Promotor
SRV-001367,2025-03-10,7,SP,Atendimento,16089,Neutro
SRV-001368,2025-01-30,9,MS,Qualidade do Produto,80854,Promotor
SRV-001369,2025-04-25,8,SC,Atendimento,72235,Neutro
SRV-001370,2025-01-08,6,MG,Atendimento,39400,Detrator
SRV-001371,2025-10-02,2,MT,Atendimento,25405,Detrator
SRV-001372,2025-11-11,2,PE,Tempo de Entrega,62763,Detrator
SRV-001373,2025-12-01,1,PR,Qualidade do Produto,40209,Detrator
SRV-001374,2025-02-05,4,GO,Atendimento,83598,Detrator
SRV-001375,2025-11-07,2,SC,Atendimento,27424,Detrator
SRV-001376,2025-02-13,5,MT,Atendimento,99523,Detrator
SRV-001377,2025-06-04,1,PE,Preço,30556,Detrator
SRV-001378,2025-03-18,2,PE,Tempo de Entrega,29330,Detrator
SRV-001379,2025-03-19,4,BA,Preço,91266,Detrator
SRV-001380,2025-04-11,10,PE,Tempo de Entrega,13236,Promotor
SRV-001381,2025-01-30,10,ES,Atendimento,79216,Promotor
SRV-001382,2025-02-08,0,SC,Qualidade do Produto,40312,Detrator
SRV-001383,2025-08-27,0,PR,Variedade,31191,Detrator
SRV-001384,2025-01-13,9,PR,Variedade,93457,Promotor
SRV-001385,2025-05-02,8,ES,Atendimento,46640,Neutro
SRV-001386,2025-05-24,6,RJ,Preço,72293,Detrator
SRV-001387,2025-06-21,0,MS,Qualidade do Produto,46688,Detrator
SRV-001388,2025-09-04,7,SC,Tempo de Entrega,81229,Neutro
SRV-001389,2025-09-04,2,PE,Atendimento,95802,Detrator
SRV-001390,2025-02-14,7,MS,Qualidade do Produto,34122,Neutro
SRV-001391,2025-09-10,4,SP,Qualidade do Produto,51224,Detrator
SRV-001392,2025-10-18,0,AM,Tempo de Entrega,16331,Detrator
SRV-001393,2025-07-26,6,RS,Qualidade do Produto,97102,Detrator
SRV-001394,2025-01-07,4,SC,Preço,52262,Detrator
SRV-001395,2025-08-30,5,MG,Preço,96314,Detrator
SRV-001396,2025-04-20,5,SP,Preço,69592,Detrator
SRV-001397,2025-04-24,7,GO,Qualidade do Produto,43926,Neutro
SRV-001398,2025-11-03,8,ES,Preço,96287,Neutro
SRV-001399,2025-10-29,1,PA,Tempo de Entrega,27528,Detrator
SRV-001400,2025-10-03,8,AM,Qualidade do Produto,10068,Neutro
SRV-001401,2025-04-06,10,PE,Variedade,79253,Promotor
SRV-001402,2025-10-21,9,PA,Qualidade do Produto,90754,Promotor
SRV-001403,2025-07-08,8,RJ,Tempo de Entrega,53968,Neutro
SRV-001404,2025-12-26,9,MG,Variedade,58623,Promotor
SRV-001405,2025-10-15,9,RJ,Qualidade do Produto,52129,Promotor
SRV-001406,2025-06-03,6,AM,Preço,71321,Detrator
SRV-001407,2025-02-27,0,RJ,Atendimento,21526,Detrator
SRV-001408,2025-12-04,6,CE,Atendimento,36709,Detrator
SRV-001409,2025-02-19,9,MT,Preço,25063,Promotor
SRV-001410,2025-07-26,4,MT,Atendimento,14723,Detrator
SRV-001411,2025-02-21,5,BA,Atendimento,14213,Detrator
SRV-001412,2025-12-08,9,MG,Preço,32797,Promotor
SRV-001413,2025-05-30,6,RS,Preço,94946,Detrator
SRV-001414,2025-02-22,4,BA,Qualidade do Produto,98918,Detrator
SRV-001415,2025-08-01,6,MG,Qualidade do Produto,55217,Detrator
SRV-001416,2025-03-07,8,RJ,Preço,78283,Neutro
SRV-001417,2025-08-20,2,GO,Tempo de Entrega,33655,Detrator
SRV-001418,2025-10-26,7,GO,Atendimento,87990,Neutro
SRV-001419,2025-12-04,1,BA,Qualidade do Produto,22587,Detrator
SRV-001420,2025-05-31,10,MG,Atendimento,32555,Promotor
SRV-001421,2025-07-24,6,RS,Variedade,38071,Detrator
SRV-001422,2025-11-16,1,MS,Preço,30239,Detrator
SRV-001423,2025-09-12,3,SP,Tempo de Entrega,59151,Detrator
SRV-001424,2025-05-17,6,AM,Variedade,12203,Detrator
SRV-001425,2025-05-15,2,PA,Variedade,23635,Detrator
SRV-001426,2025-02-23,1,MS,Variedade,62571,Detrator
SRV-001427,2025-03-06,10,SC,Preço,11144,Promotor
SRV-001428,2025-01-02,9,MS,Qualidade do Produto,42699,Promotor
SRV-001429,2025-05-12,6,MS,Preço,94619,Detrator
SRV-001430,2025-11-30,0,GO,Qualidade do Produto,22213,Detrator
SRV-001431,2025-02-01,7,PE,Variedade,26944,Neutro
SRV-001432,2025-12-22,2,MS,Variedade,76723,Detrator
SRV-001433,2025-12-26,1,MG,Tempo de Entrega,78669,Detrator
SRV-001434,2025-08-31,2,AM,Qualidade do Produto,78947,Detrator
SRV-001435,2025-07-11,4,RS,Variedade,44457,Detrator
SRV-001436,2025-05-22,10,GO,Atendimento,45191,Promotor
SRV-001437,2025-05-28,7,SC,Tempo de Entrega,82264,Neutro
SRV-001438,2025-03-30,9,BA,Preço,67924,Promotor
SRV-001439,2025-02-18,6,MG,Tempo de Entrega,43744,Detrator
SRV-001440,2025-05-16,6,MG,Atendimento,63424,Detrator
SRV-001441,2025-07-10,6,ES,Qualidade do Produto,98417,Detrator
SRV-001442,2025-05-29,7,MG,Preço,88337,Neutro
SRV-001443,2025-03-28,0,PE,Preço,86084,Detrator
SRV-001444,2025-01-08,3,MT,Qualidade do Produto,42886,Detrator
SRV-001445,2025-08-11,5,ES,Tempo de Entrega,94963,Detrator
SRV-001446,2025-12-23,8,SC,Variedade,10972,Neutro
SRV-001447,2025-01-16,1,BA,Tempo de Entrega,16621,Detrator
SRV-001448,2025-10-23,0,MT,Atendimento,59738,Detrator
SRV-001449,2025-04-16,9,GO,Variedade,67694,Promotor
SRV-001450,2025-10-10,1,BA,Tempo de Entrega,64777,Detrator
SRV-001451,2025-04-14,6,PA,Qualidade do Produto,24530,Detrator
SRV-001452,2025-12-27,2,PR,Atendimento,17354,Detrator
SRV-001453,2025-05-26,9,PR,Atendimento,56529,Promotor
SRV-001454,2025-02-04,1,SC,Atendimento,61714,Detrator
SRV-001455,2025-04-23,10,CE,Variedade,98759,Promotor
SRV-001456,2025-11-04,6,RS,Preço,51232,Detrator
SRV-001457,2025-02-22,1,GO,Variedade,62079,Detrator
SRV-001458,2025-12-13,2,GO,Tempo de Entrega,22550,Detrator
SRV-001459,2025-03-22,10,CE,Preço,98196,Promotor
SRV-001460,2025-04-14,6,AM,Tempo de Entrega,70385,Detrator
SRV-001461,2025-11-18,3,RS,Preço,74736,Detrator
SRV-001462,2025-08-30,0,GO,Variedade,40268,Detrator
SRV-001463,2025-01-31,4,ES,Atendimento,14290,Detrator
SRV-001464,2025-11-13,8,SC,Qualidade do Produto,65034,Neutro
SRV-001465,2025-07-11,7,RS,Atendimento,40138,Neutro
SRV-001466,2025-12-23,8,PR,Variedade,81982,Neutro
SRV-001467,2025-12-27,9,PR,Preço,23432,Promotor
SRV-001468,2025-08-21,8,RJ,Atendimento,77058,Neutro
SRV-001469,2025-04-08,6,RS,Variedade,68175,Detrator
SRV-001470,2025-02-03,3,MS,Tempo de Entrega,43329,Detrator
SRV-001471,2025-08-31,4,SC,Qualidade do Produto,79076,Detrator
SRV-001472,2025-02-28,0,MT,Atendimento,22328,Detrator
SRV-001473,2025-09-16,0,SP,Preço,44247,Detrator
SRV-001474,2025-01-17,2,ES,Tempo de Entrega,16677,Detrator
SRV-001475,2025-03-19,7,MG,Variedade,71810,Neutro
SRV-001476,2025-07-25,1,MS,Qualidade do Produto,60357,Detrator
SRV-001477,2025-10-29,3,PA,Preço,65812,Detrator
SRV-001478,2025-06-15,1,MG,Variedade,51616,Detrator
SRV-001479,2025-10-18,4,RS,Variedade,71284,Detrator
SRV-001480,2025-04-22,8,MT,Atendimento,59741,Neutro
SRV-001481,2025-11-13,0,MS,Atendimento,63478,Detrator
SRV-001482,2025-12-19,4,CE,Preço,64056,Detrator
SRV-001483,2025-05-25,8,ES,Variedade,55534,Neutro
SRV-001484,2025-06-05,0,PA,Atendimento,89056,Detrator
SRV-001485,2025-06-27,8,MS,Qualidade do Produto,74162,Neutro
SRV-001486,2025-12-12,7,BA,Qualidade do Produto,54711,Neutro
SRV-001487,2025-05-16,3,MT,Variedade,32805,Detrator
SRV-001488,2025-11-11,10,PE,Atendimento,30143,Promotor
SRV-001489,2025-01-18,9,MG,Preço,85828,Promotor
SRV-001490,2025-12-17,4,PR,Preço,72473,Detrator
SRV-001491,2025-06-04,4,ES,Preço,26017,Detrator
SRV-001492,2025-09-29,10,AM,Qualidade do Produto,73202,Promotor
SRV-001493,2025-09-23,5,MS,Atendimento,51423,Detrator
SRV-001494,2025-12-26,6,CE,Atendimento,51713,Detrator
SRV-001495,2025-11-28,7,PA,Qualidade do Produto,97856,Neutro
SRV-001496,2025-01-16,7,SC,Preço,84310,Neutro
SRV-001497,2025-01-12,10,MT,Preço,12205,Promotor
SRV-001498,2025-03-16,1,CE,Variedade,63266,Detrator
SRV-001499,2025-07-31,8,ES,Tempo de Entrega,22342,Neutro
SRV-001500,2025-06-28,6,BA,Atendimento,79563,Detrator
SRV-001501,2025-05-09,3,MG,Atendimento,73190,Detrator
SRV-001502,2025-10-10,3,MT,Atendimento,91863,Detrator
SRV-001503,2025-07-14,10,PR,Tempo de Entrega,31200,Promotor
SRV-001504,2025-09-25,7,GO,Variedade,17188,Neutro
SRV-001505,2025-01-30,3,SP,Tempo de Entrega,12808,Detrator
SRV-001506,2025-01-09,5,GO,Preço,23851,Detrator
SRV-001507,2025-11-05,4,PA,Preço,90890,Detrator
SRV-001508,2025-11-06,2,SC,Atendimento,74928,Detrator
SRV-001509,2025-06-14,9,MT,Qualidade do Produto,25058,Promotor
SRV-001510,2025-07-12,10,PR,Atendimento,24620,Promotor
SRV-001511,2025-11-01,1,BA,Qualidade do Produto,62755,Detrator
SRV-001512,2025-09-17,8,PE,Tempo de Entrega,72995,Neutro
SRV-001513,2025-07-11,9,BA,Preço,46681,Promotor
SRV-001514,2025-03-20,8,BA,Qualidade do Produto,74509,Neutro
SRV-001515,2025-06-28,0,MS,Tempo de Entrega,93339,Detrator
SRV-001516,2025-04-01,9,AM,Preço,77703,Promotor
SRV-001517,2025-08-03,2,GO,Qualidade do Produto,77680,Detrator
SRV-001518,2025-03-20,7,MG,Atendimento,77703,Neutro
SRV-001519,2025-04-13,5,ES,Atendimento,52136,Detrator
SRV-001520,2025-04-21,4,PA,Atendimento,98456,Detrator
SRV-001521,2025-11-10,4,MT,Tempo de Entrega,93086,Detrator
SRV-001522,2025-09-04,5,ES,Atendimento,46343,Detrator
SRV-001523,2025-08-22,6,PA,Variedade,28254,Detrator
SRV-001524,2025-03-23,0,PA,Preço,71273,Detrator
SRV-001525,2025-05-12,8,AM,Tempo de Entrega,69611,Neutro
SRV-001526,2025-08-23,2,MT,Atendimento,70002,Detrator
SRV-001527,2025-10-05,3,PR,Preço,95683,Detrator
SRV-001528,2025-12-01,9,GO,Qualidade do Produto,22926,Promotor
SRV-001529,2025-04-09,0,PE,Atendimento,74264,Detrator
SRV-001530,2025-02-07,10,MS,Preço,99527,Promotor
SRV-001531,2025-06-10,9,PE,Variedade,37563,Promotor
SRV-001532,2025-04-27,2,CE,Qualidade do Produto,40688,Detrator
SRV-001533,2025-08-29,1,GO,Variedade,44130,Detrator
SRV-001534,2025-01-26,1,MS,Preço,10925,Detrator
SRV-001535,2025-05-16,0,AM,Variedade,61595,Detrator
SRV-001536,2025-02-19,7,SP,Preço,26321,Neutro
SRV-001537,2025-10-21,2,AM,Preço,20769,Detrator
SRV-001538,2025-10-25,2,AM,Variedade,46748,Detrator
SRV-001539,2025-10-20,5,BA,Preço,50028,Detrator
SRV-001540,2025-06-03,7,AM,Atendimento,26151,Neutro
SRV-001541,2025-08-08,8,SP,Preço,86133,Neutro
SRV-001542,2025-05-20,8,RJ,Tempo de Entrega,44187,Neutro
SRV-001543,2025-02-18,3,RS,Preço,53835,Detrator
SRV-001544,2025-05-22,4,PA,Tempo de Entrega,10059,Detrator
SRV-001545,2025-02-15,1,BA,Preço,95717,Detrator
SRV-001546,2025-06-12,10,SP,Preço,37235,Promotor
SRV-001547,2025-10-12,8,PA,Variedade,77114,Neutro
SRV-001548,2025-09-25,7,MG,Atendimento,55366,Neutro
SRV-001549,2025-04-26,2,RS,Atendimento,91583,Detrator
SRV-001550,2025-03-23,10,GO,Qualidade do Produto,42160,Promotor
SRV-001551,2025-02-13,8,PE,Variedade,15277,Neutro
SRV-001552,2025-07-13,2,BA,Variedade,11780,Detrator
SRV-001553,2025-09-15,8,BA,Atendimento,56579,Neutro
SRV-001554,2025-09-30,1,PA,Variedade,70750,Detrator
SRV-001555,2025-10-01,9,PE,Atendimento,66902,Promotor
SRV-001556,2025-10-05,8,CE,Variedade,90198,Neutro
SRV-001557,2025-03-24,7,MG,Preço,42161,Neutro
SRV-001558,2025-02-27,8,BA,Atendimento,54499,Neutro
SRV-001559,2025-02-22,4,SP,Atendimento,41886,Detrator
SRV-001560,2025-01-01,10,BA,Tempo de Entrega,18800,Promotor
SRV-001561,2025-08-04,10,GO,Variedade,59460,Promotor
SRV-001562,2025-11-13,1,RS,Variedade,80975,Detrator
SRV-001563,2025-08-16,7,GO,Atendimento,79843,Neutro
SRV-001564,2025-09-11,5,PA,Preço,12364,Detrator
SRV-001565,2025-06-08,7,BA,Preço,26568,Neutro
SRV-001566,2025-10-14,10,SP,Preço,48092,Promotor
SRV-001567,2025-03-07,4,SC,Variedade,81019,Detrator
SRV-001568,2025-11-05,9,RS,Tempo de Entrega,72679,Promotor
SRV-001569,2025-04-05,1,AM,Atendimento,75781,Detrator
SRV-001570,2025-09-10,5,MT,Qualidade do Produto,18430,Detrator
SRV-001571,2025-05-30,4,PR,Tempo de Entrega,83719,Detrator
SRV-001572,2025-01-23,4,AM,Qualidade do Produto,48692,Detrator
SRV-001573,2025-09-01,0,PR,Tempo de Entrega,40086,Detrator
SRV-001574,2025-08-03,1,RS,Preço,59671,Detrator
SRV-001575,2025-05-11,7,PA,Variedade,23901,Neutro
SRV-001576,2025-12-09,2,MT,Qualidade do Produto,13907,Detrator
SRV-001577,2025-05-28,9,PA,Tempo de Entrega,38604,Promotor
SRV-001578,2025-04-19,2,MG,Variedade,47869,Detrator
SRV-001579,2025-02-09,7,SC,Qualidade do Produto,24537,Neutro
SRV-001580,2025-05-01,7,RS,Atendimento,22501,Neutro
SRV-001581,2025-10-22,1,SP,Tempo de Entrega,47371,Detrator
SRV-001582,2025-04-30,7,MS,Atendimento,46821,Neutro
SRV-001583,2025-01-18,10,RJ,Preço,98732,Promotor
SRV-001584,2025-06-18,0,MS,Atendimento,16073,Detrator
SRV-001585,2025-07-17,5,ES,Atendimento,71005,Detrator
SRV-001586,2025-05-23,7,GO,Tempo de Entrega,86097,Neutro
SRV-001587,2025-02-06,2,BA,Preço,28101,Detrator
SRV-001588,2025-07-05,7,MT,Atendimento,41426,Neutro
SRV-001589,2025-09-18,0,GO,Variedade,17313,Detrator
SRV-001590,2025-08-19,10,AM,Qualidade do Produto,40773,Promotor
SRV-001591,2025-09-11,10,CE,Atendimento,38003,Promotor
SRV-001592,2025-11-25,8,SC,Preço,69668,Neutro
SRV-001593,2025-10-24,10,SP,Atendimento,81250,Promotor
SRV-001594,2025-01-10,8,CE,Qualidade do Produto,52294,Neutro
SRV-001595,2025-11-20,4,PR,Preço,23582,Detrator
SRV-001596,2025-08-18,9,RS,Tempo de Entrega,23760,Promotor
SRV-001597,2025-01-24,3,PA,Preço,81791,Detrator
SRV-001598,2025-03-19,10,GO,Tempo de Entrega,92158,Promotor
SRV-001599,2025-07-12,5,SC,Preço,45983,Detrator
SRV-001600,2025-04-19,6,GO,Qualidade do Produto,50309,Detrator
SRV-001601,2025-10-07,4,GO,Qualidade do Produto,39715,Detrator
SRV-001602,2025-09-20,10,MS,Preço,46415,Promotor
SRV-001603,2025-11-25,9,PE,Atendimento,97328,Promotor
SRV-001604,2025-12-29,8,BA,Qualidade do Produto,98260,Neutro
SRV-001605,2025-12-21,2,PA,Tempo de Entrega,61581,Detrator
SRV-001606,2025-09-25,6,ES,Tempo de Entrega,13652,Detrator
SRV-001607,2025-12-07,9,GO,Variedade,36297,Promotor
SRV-001608,2025-09-16,9,MT,Tempo de Entrega,24028,Promotor
SRV-001609,2025-12-01,10,MS,Variedade,23803,Promotor
SRV-001610,2025-03-26,4,PR,Preço,16307,Detrator
SRV-001611,2025-01-10,6,RS,Preço,41325,Detrator
SRV-001612,2025-10-16,1,BA,Preço,68616,Detrator
SRV-001613,2025-10-29,3,PR,Atendimento,70483,Detrator
SRV-001614,2025-02-28,1,PE,Atendimento,41574,Detrator
SRV-001615,2025-11-04,6,AM,Variedade,94798,Detrator
SRV-001616,2025-09-19,1,CE,Tempo de Entrega,77071,Detrator
SRV-001617,2025-10-12,10,MS,Tempo de Entrega,24932,Promotor
SRV-001618,2025-04-29,0,ES,Preço,25749,Detrator
SRV-001619,2025-06-17,8,ES,Qualidade do Produto,18727,Neutro
SRV-001620,2025-12-19,0,GO,Atendimento,65406,Detrator
SRV-001621,2025-07-08,7,BA,Atendimento,27332,Neutro
SRV-001622,2025-09-08,1,SP,Preço,20834,Detrator
SRV-001623,2025-11-20,7,BA,Atendimento,30325,Neutro
SRV-001624,2025-08-17,2,PR,Preço,19213,Detrator
SRV-001625,2025-07-09,5,GO,Variedade,11403,Detrator
SRV-001626,2025-11-12,2,AM,Tempo de Entrega,66971,Detrator
SRV-001627,2025-05-04,6,MT,Qualidade do Produto,64030,Detrator
SRV-001628,2025-03-25,9,SP,Tempo de Entrega,83042,Promotor
SRV-001629,2025-10-24,8,ES,Tempo de Entrega,17591,Neutro
SRV-001630,2025-08-03,1,RJ,Variedade,22996,Detrator
SRV-001631,2025-08-25,4,ES,Atendimento,62485,Detrator
SRV-001632,2025-04-23,5,BA,Qualidade do Produto,57830,Detrator
SRV-001633,2025-08-05,3,PR,Atendimento,44370,Detrator
SRV-001634,2025-11-17,3,SP,Tempo de Entrega,67572,Detrator
SRV-001635,2025-09-03,3,RS,Preço,89008,Detrator
SRV-001636,2025-12-01,1,SP,Tempo de Entrega,39098,Detrator
SRV-001637,2025-11-15,3,PE,Atendimento,71561,Detrator
SRV-001638,2025-02-06,10,MG,Tempo de Entrega,12196,Promotor
SRV-001639,2025-03-05,0,MS,Preço,21091,Detrator
SRV-001640,2025-08-07,5,MG,Variedade,90576,Detrator
SRV-001641,2025-12-08,0,PA,Atendimento,75254,Detrator
SRV-001642,2025-02-03,9,PA,Tempo de Entrega,59262,Promotor
SRV-001643,2025-02-08,5,SC,Atendimento,16023,Detrator
SRV-001644,2025-03-08,0,CE,Variedade,30543,Detrator
SRV-001645,2025-07-28,5,SC,Tempo de Entrega,70029,Detrator
SRV-001646,2025-11-14,9,GO,Tempo de Entrega,52337,Promotor
SRV-001647,2025-12-10,7,MT,Atendimento,50409,Neutro
SRV-001648,2025-06-01,10,MT,Atendimento,80540,Promotor
SRV-001649,2025-12-31,1,SC,Preço,19963,Detrator
SRV-001650,2025-07-18,1,GO,Variedade,23796,Detrator
SRV-001651,2025-03-30,3,SP,Preço,50972,Detrator
SRV-001652,2025-09-05,10,PR,Tempo de Entrega,82613,Promotor
SRV-001653,2025-11-19,2,MS,Atendimento,88062,Detrator
SRV-001654,2025-03-20,3,SC,Tempo de Entrega,13261,Detrator
SRV-001655,2025-10-12,6,BA,Tempo de Entrega,27046,Detrator
SRV-001656,2025-11-26,10,GO,Qualidade do Produto,23397,Promotor
SRV-001657,2025-02-01,0,SP,Qualidade do Produto,70436,Detrator
SRV-001658,2025-03-28,5,PR,Tempo de Entrega,35757,Detrator
SRV-001659,2025-02-08,2,MG,Atendimento,25299,Detrator
SRV-001660,2025-04-11,10,RJ,Tempo de Entrega,11902,Promotor
SRV-001661,2025-09-01,9,MT,Qualidade do Produto,52399,Promotor
SRV-001662,2025-08-20,6,BA,Atendimento,58330,Detrator
SRV-001663,2025-03-09,9,RS,Tempo de Entrega,56308,Promotor
SRV-001664,2025-07-11,1,CE,Variedade,13846,Detrator
SRV-001665,2025-01-28,1,RS,Variedade,22359,Detrator
SRV-001666,2025-09-27,3,PR,Tempo de Entrega,59376,Detrator
SRV-001667,2025-08-14,0,MS,Atendimento,78056,Detrator
SRV-001668,2025-03-18,2,GO,Tempo de Entrega,50832,Detrator
SRV-001669,2025-08-11,8,PE,Tempo de Entrega,30098,Neutro
SRV-001670,2025-06-16,6,PR,Qualidade do Produto,59962,Detrator
SRV-001671,2025-10-11,6,RJ,Variedade,98672,Detrator
SRV-001672,2025-07-11,10,MG,Qualidade do Produto,45885,Promotor
SRV-001673,2025-03-30,3,ES,Qualidade do Produto,31157,Detrator
SRV-001674,2025-02-01,1,PA,Tempo de Entrega,58372,Detrator
SRV-001675,2025-05-17,3,PR,Qualidade do Produto,29674,Detrator
SRV-001676,2025-06-05,5,GO,Variedade,42357,Detrator
SRV-001677,2025-09-07,10,MG,Qualidade do Produto,22578,Promotor
SRV-001678,2025-04-05,10,MS,Variedade,12251,Promotor
SRV-001679,2025-01-17,2,AM,Qualidade do Produto,89049,Detrator
SRV-001680,2025-04-27,0,RS,Variedade,47429,Detrator
SRV-001681,2025-11-29,7,PR,Qualidade do Produto,56871,Neutro
SRV-001682,2025-11-07,4,PR,Qualidade do Produto,96526,Detrator
SRV-001683,2025-01-10,4,SC,Atendimento,35499,Detrator
SRV-001684,2025-03-21,10,RS,Variedade,16421,Promotor
SRV-001685,2025-05-14,3,CE,Variedade,62204,Detrator
SRV-001686,2025-07-22,5,CE,Variedade,34591,Detrator
SRV-001687,2025-04-26,2,BA,Preço,70940,Detrator
SRV-001688,2025-08-08,8,PE,Qualidade do Produto,96371,Neutro
SRV-001689,2025-09-10,4,MT,Variedade,22202,Detrator
SRV-001690,2025-06-18,2,ES,Preço,29290,Detrator
SRV-001691,2025-12-01,10,PR,Atendimento,28130,Promotor
SRV-001692,2025-11-12,0,PA,Variedade,47077,Detrator
SRV-001693,2025-07-24,9,PR,Variedade,29396,Promotor
SRV-001694,2025-10-25,5,BA,Preço,70848,Detrator
SRV-001695,2025-09-05,1,PE,Qualidade do Produto,93488,Detrator
SRV-001696,2025-12-31,2,RS,Atendimento,70530,Detrator
SRV-001697,2025-03-12,0,PA,Variedade,74274,Detrator
SRV-001698,2025-06-05,8,PR,Qualidade do Produto,37122,Neutro
SRV-001699,2025-04-12,7,MG,Atendimento,39381,Neutro
SRV-001700,2025-01-13,1,SP,Tempo de Entrega,55435,Detrator
SRV-001701,2025-09-28,10,MT,Tempo de Entrega,33267,Promotor
SRV-001702,2025-10-19,7,PE,Atendimento,71978,Neutro
SRV-001703,2025-08-08,8,PR,Preço,17088,Neutro
SRV-001704,2025-01-15,0,PE,Atendimento,22822,Detrator
SRV-001705,2025-08-26,4,CE,Atendimento,60216,Detrator
SRV-001706,2025-04-27,7,PA,Preço,46589,Neutro
SRV-001707,2025-11-27,10,MS,Preço,75262,Promotor
SRV-001708,2025-02-25,1,GO,Qualidade do Produto,67911,Detrator
SRV-001709,2025-12-17,3,AM,Qualidade do Produto,11436,Detrator
SRV-001710,2025-05-12,6,ES,Preço,71854,Detrator
SRV-001711,2025-08-14,2,PR,Tempo de Entrega,71888,Detrator
SRV-001712,2025-11-04,4,ES,Tempo de Entrega,37281,Detrator
SRV-001713,2025-08-10,7,RJ,Atendimento,98017,Neutro
SRV-001714,2025-06-22,9,MS,Variedade,94403,Promotor
SRV-001715,2025-12-06,2,SP,Atendimento,63952,Detrator
SRV-001716,2025-10-12,3,BA,Atendimento,32766,Detrator
SRV-001717,2025-11-05,8,ES,Variedade,31213,Neutro
SRV-001718,2025-06-06,6,PR,Preço,72239,Detrator
SRV-001719,2025-05-31,0,SC,Tempo de Entrega,32537,Detrator
SRV-001720,2025-07-04,3,AM,Atendimento,12794,Detrator
SRV-001721,2025-06-27,3,BA,Variedade,69204,Detrator
SRV-001722,2025-01-21,8,MT,Qualidade do Produto,42324,Neutro
SRV-001723,2025-04-22,5,BA,Atendimento,66764,Detrator
SRV-001724,2025-06-20,8,RS,Tempo de Entrega,40858,Neutro
SRV-001725,2025-05-18,5,ES,Preço,52850,Detrator
SRV-001726,2025-08-21,5,SC,Atendimento,23018,Detrator
SRV-001727,2025-11-28,4,ES,Atendimento,93017,Detrator
SRV-001728,2025-01-30,4,PA,Variedade,60790,Detrator
SRV-001729,2025-11-03,1,AM,Qualidade do Produto,91120,Detrator
SRV-001730,2025-06-10,7,RS,Qualidade do Produto,19850,Neutro
SRV-001731,2025-03-19,7,MS,Preço,55975,Neutro
SRV-001732,2025-10-05,10,GO,Tempo de Entrega,75510,Promotor
SRV-001733,2025-11-16,0,MS,Preço,75696,Detrator
SRV-001734,2025-01-21,7,PA,Atendimento,35832,Neutro
SRV-001735,2025-12-29,4,GO,Atendimento,97826,Detrator
SRV-001736,2025-05-23,1,GO,Qualidade do Produto,34886,Detrator
SRV-001737,2025-02-05,1,MT,Tempo de Entrega,18418,Detrator
SRV-001738,2025-10-30,5,AM,Variedade,17081,Detrator
SRV-001739,2025-08-02,10,SP,Tempo de Entrega,20114,Promotor
SRV-001740,2025-02-01,8,PR,Atendimento,28722,Neutro
SRV-001741,2025-07-05,0,PA,Variedade,97508,Detrator
SRV-001742,2025-06-23,5,AM,Tempo de Entrega,27985,Detrator
SRV-001743,2025-02-23,8,CE,Tempo de Entrega,15888,Neutro
SRV-001744,2025-06-10,7,MS,Variedade,79254,Neutro
SRV-001745,2025-09-07,10,PA,Atendimento,93845,Promotor
SRV-001746,2025-09-08,5,CE,Tempo de Entrega,29299,Detrator
SRV-001747,2025-10-06,2,PA,Variedade,66050,Detrator
SRV-001748,2025-06-20,7,ES,Atendimento,32036,Neutro
SRV-001749,2025-07-02,8,MT,Variedade,95421,Neutro
SRV-001750,2025-01-02,0,RS,Variedade,39346,Detrator
SRV-001751,2025-07-13,8,GO,Tempo de Entrega,36691,Neutro
SRV-001752,2025-06-15,5,PE,Atendimento,27986,Detrator
SRV-001753,2025-09-04,5,PR,Tempo de Entrega,37846,Detrator
SRV-001754,2025-09-01,3,ES,Preço,59665,Detrator
SRV-001755,2025-04-20,0,PA,Preço,51401,Detrator
SRV-001756,2025-11-19,9,PE,Atendimento,83728,Promotor
SRV-001757,2025-03-12,7,PR,Variedade,60054,Neutro
SRV-001758,2025-06-13,1,PE,Tempo de Entrega,48487,Detrator
SRV-001759,2025-10-12,0,BA,Tempo de Entrega,19412,Detrator
SRV-001760,2025-04-23,1,ES,Atendimento,91499,Detrator
SRV-001761,2025-08-16,0,MT,Atendimento,61473,Detrator
SRV-001762,2025-10-28,0,MT,Preço,76553,Detrator
SRV-001763,2025-01-16,8,RS,Qualidade do Produto,15279,Neutro
SRV-001764,2025-01-31,0,PR,Atendimento,85948,Detrator
SRV-001765,2025-06-11,3,CE,Qualidade do Produto,17712,Detrator
SRV-001766,2025-11-02,9,ES,Atendimento,25817,Promotor
SRV-001767,2025-07-12,5,PR,Variedade,63832,Detrator
SRV-001768,2025-07-29,6,PR,Variedade,66224,Detrator
SRV-001769,2025-08-20,1,MT,Preço,16624,Detrator
SRV-001770,2025-07-03,5,PA,Preço,39126,Detrator
SRV-001771,2025-01-15,6,PE,Qualidade do Produto,92115,Detrator
SRV-001772,2025-11-01,9,MS,Atendimento,90667,Promotor
SRV-001773,2025-07-28,9,PE,Tempo de Entrega,47462,Promotor
SRV-001774,2025-06-21,1,SC,Preço,68676,Detrator
